Item No.,Item Description,In Stock,FOREIGN NAME,Pair Size,No of pairs,SALES UOM,PURCHASE UOM,INVENTORY UOM,MRP,Product Type,Last Purchase Price,HSN/Commodity Code,VAT Commodity Group Code
2-FB-3290-BR-G30,FG MC-Fortune Kinaloor-3290-Brown-Gents-8;10,0,Footwear-Pride-3290-Brown-Gents-8;10,,24,CASE,No,CASE,289,Covering,"2,212.35",6402.99.90,FG
2-FB-3290-BR-G4,FG MC-Fortune Kinaloor-3290-Brown-Gents-7X9,0,Footwear-Pride-3290-Brown-Gents-7X9,,24,CASE,No,CASE,289,Covering,"3,280.75",6402.99.90,FG
2-FB-3290-BR-G5,FG MC-Fortune Kinaloor-3290-Brown-Gents-8X10,34,Footwear-Pride-3290-Brown-Gents-8X10,,24,CASE,No,CASE,289,Covering,"3,403.09",6402.99.90,FG
2-FB-3290-BR-G6,FG MC-Fortune Kinaloor-3290-Brown-Gents-6X8,15,Footwear-Pride-3290-Brown-Gents-6X8,,24,CASE,No,CASE,289,Covering,"3,280.71",6402.99.90,FG
2-FB-3290-BR-G7,FG MC-Fortune Kinaloor-3290-Brown-Gents-7X8,0,Footwear-Pride-3290-Brown-Gents-7X8,,24,CASE,No,CASE,289,Covering,"2,985.70",6402.99.90,FG
2-FB-3290-BR-GA6,FG MC-Fortune Kinaloor-3290-Brown-Gents-06,0,Footwear-Pride-3290-Brown-Gents-06,,24,CASE,No,CASE,289,Covering,"2,966.43",6402.99.90,FG
2-FB-3290-BR-GA7,FG MC-Fortune Kinaloor-3290-Brown-Gents-7,0,Footwear-Pride-3290-Brown-Gents-7,,24,CASE,No,CASE,289,Covering,"2,295.16",6402.99.90,FG
2-FB-3290-BR-GA8,FG MC-Fortune Kinaloor-3290-Brown-Gents-08,1,Footwear-Pride-3290-Brown-Gents-08,,24,CASE,No,CASE,289,Covering,"3,324.92",6402.99.90,FG
2-FB-3290-BR-GA9,FG MC-Fortune Kinaloor-3290-Brown-Gents-09,1,Footwear-Pride-3290-Brown-Gents-9,,24,CASE,No,CASE,289,Covering,"3,406.50",6402.99.90,FG
2-FB-3290-BR-GB0,FG MC-Fortune Kinaloor-3290-Brown-Gents-10,1,Footwear-Pride-3290-Brown-Gents-10,,24,CASE,No,CASE,289,Covering,"3,500.50",6402.99.90,FG
2-FB-3290-BR-X1,FG MC-Fortune Kinaloor-3290-Brown-Giants-11X12,42,Footwear-Pride-3290-Brown-Giants-11X12,,12,CASE,No,CASE,339,Covering,"1,944.14",,FG
2-FB-3290-BR-XB1,FG MC-Fortune Kinaloor-3290-Brown-Giants-11,0,Footwear-Pride-3290-Brown-Giants-11,,12,CASE,No,CASE,339,Covering,"1,509.81",,FG
2-FB-3290-TA-G1,FG MC-Fortune Kinaloor-3290-Tan-Gents-6X10,0,Footwear-Pride-3290-Tan-Gents-6X10,,24,CASE,No,CASE,289,Covering,"3,204.37",6402.99.90,FG
2-FB-3290-TA-G2,FG MC-Fortune Kinaloor-3290-Tan-Gents-7X10,0,Footwear-Pride-3290-Tan-Gents-7X10,,24,CASE,No,CASE,289,Covering,"3,244.15",6402.99.90,FG
2-FB-3290-TA-G3,FG MC-Fortune Kinaloor-3290-Tan-Gents-6X9,0,Footwear-Pride-3290-Tan-Gents-6X9,,24,CASE,No,CASE,289,Covering,"2,530.27",6402.99.90,FG
2-FB-3290-TA-G4,FG MC-Fortune Kinaloor-3290-Tan-Gents-7X9,0,Footwear-Pride-3290-Tan-Gents-7X9,,24,CASE,No,CASE,289,Covering,"2,638.46",6402.99.90,FG
2-FB-3290-TA-G5,FG MC-Fortune Kinaloor-3290-Tan-Gents-8X10,0,Footwear-Pride-3290-Tan-Gents-8X10,,24,CASE,No,CASE,289,Covering,"2,985.99",6402.99.90,FG
2-FB-3290-TA-G6,FG MC-Fortune Kinaloor-3290-Tan-Gents-6X8,8,Footwear-Pride-3290-Tan-Gents-6X8,,24,CASE,No,CASE,289,Covering,"3,138.84",6402.99.90,FG
2-FB-3290-TA-GA8,FG MC-Fortune Kinaloor-3290-Tan-Gents-8,0,Footwear-Pride-3290-Tan-Gents-8,,24,CASE,No,CASE,289,Covering,"2,405.47",6402.99.90,FG
2-FB-3290-TA-GB0,FG MC-Fortune Kinaloor-3290-Tan-Gents-10,0,Footwear-Pride-3290-Tan-Gents-10,,24,CASE,No,CASE,289,Covering,"2,799.73",6402.99.90,FG
2-FB-3290-TA-X1,FG MC-Fortune Kinaloor-3290-Tan-Giants-11X12,0,Footwear-PRIDE-3290-Tan-Giants-11X12,,12,CASE,No,CASE,339,COVERING,0,,FG
2-FB-3290-WT-G1,FG MC-Fortune Kinaloor-3290-White-Gents-6X10,0,Footwear-Pride-3290-White-Gents-6X10,,24,CASE,No,CASE,289,Covering,"3,081.12",6402.99.90,FG
2-FB-3290-WT-G2,FG MC-Fortune Kinaloor-3290-White-Gents-7X10,0,Footwear-Pride-3290-White-Gents-7X10,,24,CASE,No,CASE,289,Covering,"3,156.22",6402.99.90,FG
2-FB-3290-WT-G3,FG MC-Fortune Kinaloor-3290-White-Gents-6X9,0,Footwear-Pride-3290-White-Gents-6X9,,24,CASE,No,CASE,289,Covering,"3,089.31",6402.99.90,FG
2-FB-3290-WT-G5,FG MC-Fortune Kinaloor-3290-White-Gents-8X10,0,Footwear-Pride-3290-White-Gents-8X10,,24,CASE,No,CASE,289,Covering,"3,184.32",6402.99.90,FG
2-FB-3290-WT-G6,FG MC-Fortune Kinaloor-3290-White-Gents-6X8,0,Footwear-Pride-3290-White-Gents-6X8,,24,CASE,No,CASE,289,Covering,"2,282.23",6402.99.90,FG
2-FB-3290-WT-GA7,FG MC-Fortune Kinaloor-3290-White-Gents-7,0,Footwear-Pride-3290-White-Gents-7,,24,CASE,No,CASE,289,Covering,"2,524.87",6402.99.90,FG
2-FB-3290X-BK-G1,FG MC-Fortune Kinaloor-3290X-Black-Gents-6X10,0,Footwear-Pride-3290X-Black-Gents-6X10,,24,CASE,No,CASE,279,Covering,"3,136.11",,FG
2-FB-3290X-BK-G2,FG MC-Fortune Kinaloor-3290X-Black-Gents-7X10,0,Footwear-Pride-3290X-Black-Gents-7X10,,24,CASE,No,CASE,279,Covering,"3,183.86",,FG
2-FB-3290X-BK-G3,FG MC-Fortune Kinaloor-3290X-Black-Gents-6X9,0,Footwear-Pride-3290X-Black-Gents-6X9,,24,CASE,No,CASE,279,Covering,"3,107.40",,FG
2-FB-3290X-BK-G4,FG MC-Fortune Kinaloor-3290X-Black-Gents-7X9,0,Footwear-Pride-3290X-Black-Gents-7X9,,24,CASE,No,CASE,279,Covering,"3,158.07",,FG
2-FB-3290X-BK-G5,FG MC-Fortune Kinaloor-3290X-Black-Gents-8X10,0,Footwear-Pride-3290X-Black-Gents-8X10,,24,CASE,No,CASE,279,Covering,"3,198.95",,FG
2-FB-3290X-BK-G6,FG MC-Fortune Kinaloor-3290X-Black-Gents-6X8,0,Footwear-Pride-3290X-Black-Gents-6X8,,24,CASE,No,CASE,279,Covering,0,,FG
2-FB-3290X-BK-GA6,FG MC-Fortune Kinaloor-3290X-Black-Gents-06,0,Footwear-Pride-3290X-Black-Gents-06,,24,CASE,No,CASE,279,Covering,"2,959.51",,FG
2-FB-3290X-BK-GA8,FG MC-Fortune Kinaloor-3290X-Black-Gents-8,0,Footwear-Pride-3290X-Black-Gents-8,,24,CASE,No,CASE,279,Covering,0,,FG
2-FB-3290X-BK-GA9,FG MC-Fortune Kinaloor-3290X-Black-Gents-09,3,Footwear-Pride-3290X-Black-Gents-09,,24,CASE,No,CASE,279,Covering,"2,999.69",,FG
2-FB-3290X-BK-GB0,FG MC-Fortune Kinaloor-3290X-Black-Gents-10,0,Footwear-Pride-3290X-Black-Gents-10,,24,CASE,No,CASE,279,Covering,0,,FG
2-FB-3290X-BK-X1,FG MC-Fortune Kinaloor-3290X-Black-Giants-11X12,1,Footwear-Pride-3290X-Black-Giants-11X12,,12,CASE,No,CASE,319,Covering,"1,905.83",,FG
